NodeType,Success_Ocurrences,Success_CharCount,Partial_Ocurrences,Partial_CharCount,NotSupported_Ocurrences,NotSupported_CharCount,Failed_Ocurrences,Failed_CharCount
CSGlobalAttributes,9,99,0,0,0,0,0,0
CSExpressionStat,83,83,0,0,0,0,0,0
CSSimpleName,124,1052,0,0,0,0,0,0
CSNewObject,21,63,0,0,0,0,0,0
CSParam,7,30,0,0,0,0,0,0
CSConstructor,1,22,0,0,0,0,0,0
CSExprMemberAccess,82,82,0,0,2,2,0,0
CSDotName,67,67,0,0,0,0,0,0
CSSingleAccess,107,1303,0,0,2,32,0,0
CSAliasTypeRef,12,58,0,0,0,0,0,0
CSLiteral,88,577,0,0,0,0,0,0
CSAttrArgList,9,18,0,0,0,0,0,0
CSArg,54,0,0,0,0,0,0,0
CSLocalVar,5,0,0,0,0,0,0,0
CSPPRegion,1,43,0,0,0,0,0,0
CSInterpolatedText,1,5,0,0,0,0,0,0
CSAttrSection,1,2,0,0,0,0,0,0
CSRegularIpString,1,3,0,0,0,0,0,0
CSMethod,6,126,0,0,0,0,0,0
CSAttribute,10,0,0,0,0,0,0,0
CSAnd,1,2,0,0,0,0,0,0
CSVarInit,6,6,0,0,0,0,0,0
CSNotEql,2,4,0,0,0,0,0,0
CSIf,3,12,0,0,0,0,0,0
CSBaseMemberAccess,1,1,0,0,0,0,0,0
CSNot,1,1,0,0,0,0,0,0
CSVarDeclarator,12,134,0,0,0,0,0,0
CSTypeBase,1,1,0,0,0,0,0,0
CSThisMemberAccess,3,3,0,0,0,0,0,0
CSThis,3,12,0,0,0,0,0,0
CSPPEndRegion,1,10,0,0,0,0,0,0
CSParamList,7,17,0,0,0,0,0,0
CSVar,5,15,0,0,0,0,0,0
CSBlock,10,20,0,0,0,0,0,0
CSNested,1,2,0,0,0,0,0,0
CSBase,1,4,0,0,0,0,0,0
CSArgList,42,108,0,0,0,0,0,0
CSAssign,65,68,0,0,0,0,0,0
CSAs,1,2,0,0,0,0,0,0
CSUsingNamespace,12,126,0,0,0,0,0,0
CSInterpolation,1,2,0,0,0,0,0,0
CSAliasMemberAccess,1,1,0,0,0,0,0,0
CSLocalVarStat,5,5,0,0,0,0,0,0
CSTypeRef,42,0,0,0,0,0,0,0
CSCall,21,0,0,0,0,0,0,0
CSMemberAccess,89,618,0,0,0,0,0,0
CSCompilationUnit,5,0,0,0,0,0,0,0
CSNamespace,3,33,0,0,0,0,0,0
CSAttrArg,9,0,0,0,0,0,0,0
CSClass,3,94,0,0,0,0,0,0
CSField,7,56,0,0,0,0,0,0
